PLAYER INFO,,,,,,,,2017 PLAYING TIME %,,,,,,,,,,,,2016 GAMES PLAYED,,,,,,,,,,,2017 PROJECTIONS (STANDARD HITTING),,,,,,,,,,,,,,,,,,,,,,2017 PROJECTIONS (STANDARD PITCHING),,,,,,,,,,,,,,,,,,,,,,162-GAME PROJECTIONS (HITTING),,,,,,,,,,,,,162-GAME PROJECTIONS (PITCHING),,,,,,,,,,,,2017 POINTS,,,,RANKINGS,,,,,POSITION FILTERS,,,,,,,,,,,,,,AWARD CANDIDATES,,,,
Name,2017 TEAM,LEAGUE,AGE,ROOKIE,POS,BATS,THR,TOTAL,C,1B,2B,3B,SS,LF,CF,RF,DH,SP,RP,C,1B,2B,3B,SS,LF,CF,RF,DH,SP,RP,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS,HR%,XBH%,BB%,K%,W,L,Sv,Holds,BS,ERA,G,GS,G (RP),QS,QS%,IP,ER,H,HR,BB,K,WHIP,BB/9,K/9,H/9,HR/9,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,K,W,L,Sv,Holds,BS,QS,IP,ER,H,HR,BB,K,4X4,5X5,6X6,POINTS,2017 Overall,2017 Position,2016 Overall,2016 Position,% +/-,C,1B,2B,3B,SS,CF,LF/RF,All OF,All INF,1B/3B,2B/SS,SP,RP,CL,ROOKIE,BOUNCE-BACK,BREAKOUT,KNOCKING DOWN THE DOOR,UNDER THE RADAR
A.J. Pollock,Arizona Diamondbacks,NL,29.0,,CF,R,R,92.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,92.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,11,0,0,0,0,150,696,641,111,186,111,37,15,22,70,37,5,56,104,0.290,0.346,0.499,0.845,22.1%,28.3%,7.8%,25.8%,0,0,0,0,0,0.00,0,0,0,0,0.0%,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,750,690,120,200,120,40,16,24,75,40,5,60,113,,,,,,,,,,,,,9.5558,9.6212,9.6004,9.0101,19,4,202,54,10.63%,,,,,,X,,X,,,,,,,,X,,,
Zack Greinke,Arizona Diamondbacks,NL,33.1,X,SP,R,R,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.50%,0.00%,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.0%,0.0%,0.0%,0.0%,14,12,0,0,0,3.88,33,33,0,21,62.0%,203,87,205,27,52,182,1.267,2.3,8.1,9.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,22,207,90,208,30,55,190,,,,,58,21,77,32,1.33%,,,,,,,,,,,,X,,,,,,,
